spotify_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7iN1s7xHE4ifF5povM6A48,0.63,0.44,0.4,0.0,0.11,-8,0.03,143,0.41
6dGnYIeXmHdcikdzNNDMm2,0.03,0.56,0.54,0.0,0.18,-10,0.03,129,0.39
4pbG9SUmWIvsROVLF0zF9s,0.39,0.49,0.72,0.0,0.31,-6,0.05,131,0.87
3BQHpFgAp4l80e1XslIjNI,0.88,0.33,0.18,0.0,0.09,-12,0.03,97,0.32
5GjPQ0eI7AgmOnADn1EO6Q,0.94,0.58,0.28,0.0,0.31,-9,0.04,138,0.81
75zMKn5euxQdlkZgu4P42J,0.58,0.57,0.68,0.0,0.04,-11,0.26,114,0.61
77oU2rjC5XbjQfNe3bD6so,0.39,0.78,0.88,0.0,0.04,-4,0.03,101,0.89
744hdHz3CORMz3FcU230C4,0.78,0.36,0.62,0.0,0.15,-6,0.04,81,0.38
0JuW3zVUYjyW5BbtXq2to6,0.57,0.63,0.4,0.0,0.08,-15,0.04,89,0.6
2TVxnKdb3tqe1nhQWwwZCO,0.38,0.41,0.43,0.0,0.15,-11,0.03,145,0.28
38zsOOcu31XbbYj9BIPUF1,0.83,0.55,0.32,0.0,0.1,-11,0.03,128,0.32
7HW5WIw7ZgZORCzUxv5gW5,0.15,0.73,0.84,0.0,0.06,-9,0.03,131,0.78
0EANX0OVKSCcmarY50Xa4p,0.82,0.3,0.37,0.0,0.1,-9,0.03,122,0.15
3qczyRtur0tILibW9rHBFA,0.05,0.55,0.81,0.0,0.28,-4,0.09,135,0.22
2aEuXA1KswHlCGPOuPmCOW,0.1,0.71,0.67,0.0,0.23,-8,0.05,79,0.84
2aBxt229cbLDOvtL7Xbb9x,0.46,0.65,0.53,0.0,0.25,-8,0.04,79,0.49
4EI8VuxUuIHKfafU72emqz,0.03,0.83,0.47,0.0,0.09,-8,0.06,140,0.77
1z3ugFmUKoCzGsI6jdY4Ci,0.26,0.63,0.84,0.0,0.18,-5,0.04,111,0.26
1ZPlNanZsJSPK5h9YZZFbZ,0.15,0.77,0.66,0.0,0.07,-11,0.04,120,0.97
27QvYgBk0CHOVHthWnkuWt,0.01,0.74,0.88,0.0,0.42,-6,0.04,116,0.33
2fzykVsO2Di5jnofUNX3YE,0.01,0.74,0.8,0.09,0.14,-9,0.07,120,0.87
4xnp5cvuGKQGwuIRHCTUzh,0.62,0.53,0.46,0.0,0.14,-8,0.03,107,0.34
1pTGc8pwyo6xtgXBKCBcFn,0.25,0.47,0.28,0.0,0.13,-16,0.03,170,0.33
1vZTgn4JXWMahR8r99ug5H,0.89,0.26,0.32,0.0,0.13,-12,0.03,138,0.17
7qmqeHzgNQTOnl1NUgRFO4,0.88,0.16,0.12,0.0,0.16,-18,0.04,67,0.24
7J1uxwnxfQLu4APicE5Rnj,0.02,0.93,0.46,0.04,0.04,-10,0.05,117,0.88
3BovdzfaX4jb5KFQwoPfAw,0.02,0.78,0.71,0.0,0.23,-9,0.05,139,0.9
2LlQb7Uoj1kKyGhlkBf9aC,0.09,0.77,0.86,0.0,0.91,-5,0.07,118,0.81
7oOOI85fVQvVnK5ynNMdW7,0.18,0.81,0.54,0.0,0.16,-13,0.04,114,0.85
0sKlV58cODrjxGFOyf9IXY,0.05,0.88,0.85,0.0,0.14,-5,0.15,114,0.54
1P17dC1amhFzptugyAO7Il,0.2,0.77,0.71,0.0,0.13,-6,0.12,128,0.51
1CiVz2WkmZRwhU3A6J2Gjz,0.06,0.65,0.79,0.0,0.15,-5,0.17,160,0.94
1D4PL9B8gOg78jiHg3FvBb,0.17,0.62,0.74,0.0,0.08,-4,0.03,119,0.3
0V3wPSX9ygBnCm8psDIegu,0.12,0.63,0.65,0.0,0.16,-7,0.06,97,0.49
1vwCXIAjSkUxvn78Cmz84g,0.09,0.75,0.68,0.0,0.13,-5,0.06,96,0.58
1BxfuPKGuaTgP7aM0Bbdwr,0.12,0.55,0.7,0.0,0.11,-6,0.16,170,0.56
3NlLmKBJozwoi0k03Feb1N,0.2,0.75,0.69,0.0,0.07,-9,0.05,119,0.9
0n2pjCIMKwHSXoYfEbYMfX,0.82,0.52,0.46,0.0,0.24,-15,0.07,132,0.68
2C5SI38AMmqckQGnD1H2FO,0.02,0.65,0.76,0.0,0.05,-6,0.04,109,0.8
1h2xVEoJORqrg71HocgqXd,0.04,0.63,0.63,0.01,0.04,-12,0.07,100,0.87
36lkJSDyMEZoWTqtRj8Q8q,0.37,0.58,0.6,0.0,0.22,-6,0.03,74,0.39
58DXqHKK7TfxUmhCq2ux4E,0.06,0.4,0.57,0.0,0.05,-7,0.03,141,0.23
0Wv3aY6gApoT3oKBYIqvXb,0.02,0.48,0.6,0.0,0.05,-7,0.03,77,0.35
5FoeE0CWMs0CbX0udYutDS,0.46,0.39,0.56,0.0,0.11,-7,0.03,173,0.19
2tUBqZG2AbRi7Q0BIrVrEj,0.21,0.71,0.82,0.0,0.09,-9,0.05,119,0.87
4eHbdreAnSOrDDsFfc4Fpm,0.85,0.33,0.21,0.0,0.08,-13,0.03,68,0.11
6yJxCltgtmGxIgKOS6ndnu,0.48,0.5,0.33,0.0,0.12,-16,0.03,131,0.25
31er9IGsfFbwqy1pH4aiTP,0.58,0.54,0.4,0.0,0.16,-10,0.04,153,0.24
1H4idkmruFoJBg1DvUv2tY,0.08,0.48,0.6,0.0,0.11,-9,0.03,125,0.67
1SV1fxF65n9NhRHp3KlBuu,0.32,0.77,0.51,0.0,0.07,-9,0.03,95,0.78
1Qa0Y05al633fG8f9Peytc,0.39,0.47,0.49,0.09,0.62,-10,0.03,79,0.37
1db0gbTSKdRQum8VlbNkiO,0.12,0.82,0.69,0.0,0.05,-10,0.05,118,0.83
3oevkC3HQ2sxTwJ394MROY,0.53,0.42,0.36,0.0,0.06,-15,0.04,120,0.14
452KBpASS5lZLeJWX9Ixub,0.41,0.65,0.58,0.0,0.07,-10,0.08,167,0.92
44AyOl4qVkzS48vBsbNXaC,0.94,0.4,0.29,0.0,0.11,-14,0.03,100,0.34
1H5IfYyIIAlgDX8zguUzns,0.04,0.49,0.38,0.0,0.41,-11,0.03,117,0.71
64Ny7djQ6rNJspquof2KoX,0.73,0.49,0.76,0.01,0.76,-8,0.05,87,0.95
7zMUCLm1TN9o9JlLISztxO,0.1,0.66,0.75,0.01,0.28,-11,0.03,114,0.97
2yOm4lN7aTygtXanJFNFWU,0.6,0.57,0.23,0.0,0.12,-11,0.07,129,0.21
29rQJydAlO0uMyWvRIZxQg,0.3,0.7,0.7,0.47,0.07,-7,0.07,98,0.58
5vywtoD7fO1CP0B2wtm6I6,0.28,0.79,0.79,0.24,0.16,-12,0.05,120,0.64
5EBWCGlCn65HM8Hglrc5V1,0.63,0.43,0.41,0.01,0.14,-12,0.03,78,0.06
4z7maGZkAonDlXlwo8q69f,0.01,0.72,0.69,0.0,0.11,-8,0.03,112,0.85
6rovOdp3HgK1DeAMYDzoA7,0.56,0.6,0.57,0.11,0.07,-11,0.04,129,0.54
6sBA8b9bT8Z8G8TkVDvNTK,0.27,0.64,0.82,0.49,0.14,-9,0.03,161,0.71
4lsEHglVsLzILTDQ3CNESV,0.13,0.51,0.44,0.0,0.1,-11,0.03,75,0.14
6LxSe8YmdPxy095Ux6znaQ,0.37,0.64,0.57,0.0,0.09,-7,0.11,152,0.43
1zi7xx7UVEFkmKfv06H8x0,0.01,0.79,0.63,0.0,0.33,-6,0.05,104,0.37
5mCPDVBb16L4XQwDdbRUpz,0.26,0.81,0.46,0.09,0.11,-11,0.04,112,0.36
3XLSlQLJf3Ut0zvMUxnF1h,0.39,0.68,0.7,0.0,0.12,-7,0.06,135,0.41
6FMIVQPZg9cmMY8hPxAacD,0.02,0.31,0.93,0.0,0.11,-6,0.13,196,0.38
62LJFaYihsdVrrkgUOJC05,0.01,0.9,0.27,0.0,0.05,-12,0.09,111,0.74
6sby78fghipoXHQLeeZFFH,0.01,0.73,0.99,0.0,0.44,-5,0.05,126,0.84
3QszJeuSyyZQmD9pY1tqpo,0.04,0.71,0.64,0.0,0.11,-14,0.03,135,0.63
6qn9YLKt13AGvpq9jfO8py,0.03,0.74,0.77,0.0,0.11,-4,0.04,128,0.6
5oO3drDxtziYU2H1X23ZIp,0.07,0.51,0.64,0.0,0.08,-5,0.05,172,0.38
2Yy0FsAV2I5VXU4xpph2WN,0.95,0.62,0.31,0.0,0.12,-10,0.03,112,0.13
49FYlytm3dAAraYgpoJZux,0.01,0.59,0.83,0.0,0.04,-5,0.12,174,0.58
0ByMNEPAPpOR5H69DVrTNy,0.03,0.83,0.67,0.0,0.05,-6,0.06,123,0.55
2ENexcMEMsYk0rVJigVD3i,0.11,0.79,0.71,0.0,0.06,-4,0.04,126,0.64
1xOXXYh6lTW8laxlW7JP2J,0.16,0.58,0.87,0.0,0.09,-6,0.16,76,0.76
64UioB4Nmwgn2f4cbIpAkl,0.1,0.75,0.68,0.0,0.09,-8,0.15,141,0.54
4ZoBC5MhSEzuknIgAkBaoT,0.11,0.74,0.65,0.0,0.06,-13,0.04,131,0.8
5zA8vzDGqPl2AzZkEYQGKh,0.08,0.7,0.94,0.0,0.6,-3,0.05,129,0.79
5A6Jbi90K8s9ge8BVh15ga,0.57,0.36,0.39,0.0,0.11,-8,0.03,95,0.37
4Y8EyXnq5CLR8A7EHXxx7L,0.77,0.46,0.36,0.0,0.1,-8,0.03,135,0.34
4W0pzgxtVud25lXyfnfxDC,0.76,0.61,0.33,0.0,0.13,-13,0.03,78,0.34
3CifrcOH0P7cMwEInwBcIN,0.4,0.83,0.53,0.96,0.07,-12,0.08,82,0.87
54536WVYAqiNf2N2SfBMGk,0.77,0.55,0.42,0.88,0.11,-11,0.04,81,0.5
3S94k75DXrZI7OX3c9KPfr,0.86,0.63,0.16,0.0,0.14,-14,0.04,84,0.25
0NhodPAXI2erfY7rdLr3di,0.62,0.78,0.57,0.52,0.04,-10,0.05,101,0.89
7Ie9W94M7OjPoZVV216Xus,0.53,0.86,0.95,0.0,0.21,-1,0.26,115,0.67
15JINEqzVMv3SvJTAXAKED,0.24,0.75,0.93,0.0,0.52,-5,0.23,87,0.64
3yfqSUWxFvZELEM4PmlwIR,0.03,0.95,0.66,0.0,0.05,-4,0.06,105,0.76
4xkOaSrkexMciUUogZKVTS,0.06,0.55,0.85,0.0,0.08,-3,0.19,171,0.1
7J41dYQolQJEtj3UmKLu5r,0.02,0.82,0.5,0.0,0.07,-5,0.03,124,0.65
2QsZVnbWVSjKMXK6K3uRBL,0.19,0.66,0.63,0.0,0.25,-5,0.08,94,0.73
5rb9QrpfcKFHM1EUbSIurX,0.02,0.89,0.79,0.0,0.04,-5,0.11,105,0.58
68vgtRHr7iZHpzGpon6Jlo,0.26,0.66,0.51,0.0,0.05,-8,0.12,86,0.68
2mOGLiSTUeki1l9t1BBNRQ,0.22,0.72,0.22,0.0,0.12,-15,0.03,113,0.31
7FwBtcecmlpc1sLySPXeGE,0.01,0.53,0.94,0.0,0.19,-6,0.04,149,0.5
3PzsbWSQdLCKDLxn7YZfkM,0.59,0.62,0.45,0.03,0.07,-14,0.03,89,0.87
0dOg1ySSI7NkpAe89Zo0b9,0.0,0.4,0.95,0.0,0.1,-6,0.06,122,0.58
62AuGbAkt8Ox2IrFFb8GKV,0.61,0.53,0.13,0.0,0.24,-16,0.03,63,0.58
5pkd9ib1RgbkAd1R9bIOCa,0.32,0.56,0.51,0.0,0.16,-15,0.03,128,0.86
4wOKTOwGVrie2GIbCMEe7U,0.14,0.25,0.38,0.0,0.11,-14,0.03,90,0.51
1K1nzhbKCNmrNXi9B07mPF,0.02,0.71,0.38,0.0,0.09,-14,0.03,91,0.84
1OppEieGNdItZbE14gLBEv,0.3,0.63,0.71,0.0,0.08,-9,0.05,97,0.66
5uES1C2NgkdrNHiCwf9jRr,0.76,0.6,0.64,0.0,0.54,-9,0.04,136,0.73
69RH84na5iUNwrwxpgjC5j,0.79,0.57,0.49,0.0,0.09,-11,0.04,135,0.85
52FlwUMMDnTK8TGkCag9Jd,0.53,0.61,0.44,0.0,0.13,-13,0.03,115,0.5
40riOy7x9W7GXjyGp4pjAv,0.01,0.58,0.51,0.0,0.06,-9,0.03,147,0.61
4yugZvBYaoREkJKtbG08Qr,0.34,0.57,0.67,0.0,0.13,-10,0.03,139,0.74
2TjnCxxQRYn56Ye8gkUKiW,0.95,0.23,0.22,0.0,0.27,-13,0.03,60,0.18
3QIoEi8Enr9uHffwInGIsC,0.6,0.61,0.29,0.0,0.06,-12,0.04,183,0.47
3mRM4NM8iO7UBqrSigCQFH,0.03,0.7,0.83,0.01,0.18,-7,0.03,104,0.94
2JoZzpdeP2G6Csfdq5aLXP,0.11,0.63,0.36,0.0,0.13,-9,0.03,105,0.67
5KgbyD2lQQlIupAaPjgiXg,0.03,0.73,0.8,0.0,0.08,-7,0.02,109,0.89
0mbS3VwRbO6HVBMPXnzOGA,0.73,0.43,0.38,0.0,0.27,-13,0.03,91,0.53
1AJ5F0FMTC3yFU3ocjy1gE,0.66,0.52,0.37,0.0,0.14,-8,0.03,106,0.65
4IHc6SzGPnzSPuHVEPzpJc,0.72,0.39,0.63,0.0,0.13,-7,0.03,125,0.72
5qHYXcVvc9xsFB2uH7GpMN,0.01,0.68,0.64,0.0,0.14,-10,0.03,116,0.93
5t9KYe0Fhd5cW6UYT4qP8f,0.39,0.4,0.49,0.0,0.15,-7,0.03,133,0.38
07GvNcU1WdyZJq3XxP0kZa,0.02,0.58,0.95,0.0,0.07,-5,0.04,135,0.8
0ofHAoxe9vBkTCp2UQIavz,0.06,0.83,0.49,0.0,0.13,-10,0.03,120,0.79
5ihS6UUlyQAfmp48eSkxuQ,0.88,0.41,0.16,0.0,0.12,-22,0.03,159,0.42
19Shlms2uTnOjIUg50TXzd,0.86,0.65,0.34,0.39,0.08,-13,0.04,176,0.95
4YMQXzscifAREG0a7KNGhB,0.68,0.49,0.35,0.08,0.09,-14,0.03,124,0.62
2pX4FpOgwItRVPPUFdRcxA,0.16,0.61,0.92,0.0,0.3,-4,0.03,116,0.96
41IShViF79gmulEkIHAjcb,0.07,0.59,0.93,0.0,0.06,-3,0.05,120,0.67
7ptdX6yHWePemlp0TuOhK5,0.01,0.6,0.84,0.0,0.23,-5,0.03,128,0.6
745H5CctFr12Mo7cqa1BMH,0.64,0.57,0.42,0.0,0.1,-11,0.03,105,0.69
676Rf0qIOh2gKNEl9TnCOx,0.4,0.59,0.74,0.0,0.11,-6,0.04,133,0.88
39Bd345OWEhRNyfayhp9gv,0.88,0.43,0.24,0.01,0.2,-15,0.03,92,0.48
6aL6pPBaTMGgM558mplSnj,0.57,0.69,0.69,0.0,0.4,-13,0.1,109,0.7
33LC84JgLvK2KuW43MfaNq,0.73,0.43,0.28,0.0,0.12,-12,0.03,99,0.04
28UMiBhn383n9S7GL4tsxD,0.31,0.62,0.47,0.0,0.1,-10,0.03,120,0.18
5kK1Iru9ogP3Iy1zsANU1n,0.36,0.55,0.52,0.0,0.24,-9,0.03,140,0.25
2FTZeRHQ4gRPViPMpWL9uX,0.02,0.69,0.64,0.0,0.2,-5,0.04,102,0.45
0gsl92EMIScPGV1AU35nuD,0.35,0.34,0.33,0.02,0.07,-10,0.03,119,0.08
6cLEpgDcEldV1n9gusHQUX,0.71,0.67,0.28,0.0,0.13,-10,0.04,135,0.49
4VijLEUxHEzbWKYL5u9wuN,0.57,0.51,0.3,0.0,0.08,-14,0.04,103,0.63
5K09WxKdlkroDyEVyOSySy,0.68,0.6,0.27,0.0,0.14,-10,0.03,111,0.41
7L4G39PVgMfaeHRyi1ML7y,0.91,0.46,0.27,0.0,0.1,-15,0.07,146,0.29
5Gq5Ozgqqti42kNLVRfkRt,0.46,0.57,0.68,0.0,0.09,-7,0.18,170,0.82
4o6BgsqLIBViaGVbx5rbRk,0.23,0.75,0.5,0.11,0.05,-12,0.06,167,0.9
1qjrYozGqc7upUgfN776lZ,0.36,0.59,0.4,0.0,0.12,-11,0.07,150,0.2
0j3QN4uiMdf8gI12JATZ9B,0.22,0.74,0.32,0.0,0.07,-13,0.04,93,0.81
7j4OmvkjRz0PrjFADlHfQx,0.0,0.6,0.67,0.0,0.11,-4,0.02,108,0.45
6IAZHEBUIGJ6NJKxxOBIEr,0.14,0.73,0.77,0.0,0.05,-5,0.03,105,0.51
5lkpeJwmQKgY3bX2zChjxX,0.89,0.56,0.32,0.0,0.1,-8,0.03,135,0.29
1Yk0cQdMLx5RzzFTYwmuld,0.33,0.58,0.43,0.0,0.09,-6,0.03,79,0.29
273QnyCvJB65rScHJ1nPZb,0.91,0.32,0.17,0.0,0.11,-11,0.03,65,0.1
6O5TrlFWTYvznd9fMC0VvU,0.3,0.38,0.6,0.0,0.1,-6,0.05,144,0.27
6VObnIkLVruX4UVyxWhlqm,0.42,0.35,0.55,0.0,0.11,-7,0.03,76,0.08
2KzV3VG27vIp7roOS3N4kX,0.3,0.53,0.47,0.0,0.17,-5,0.03,155,0.19
0TwBtDAWpkpM3srywFVOV5,0.0,0.66,0.76,0.0,0.06,-7,0.21,99,0.7
5mMjkxGijQB4JZallYrkOW,0.04,0.43,0.58,0.0,0.19,-5,0.3,193,0.27
2MfOcbtgz2yTsiznFmVZUN,0.27,0.51,0.72,0.0,0.06,-6,0.06,80,0.47
0K7wIocSvzcRISpssBUzfZ,0.11,0.63,0.52,0.0,0.35,-6,0.03,90,0.43
1kgdslQYmeTR4thk9whoRw,0.84,0.5,0.24,0.54,0.13,-12,0.03,154,0.31
0zxj7dVhYZq5ACyaDx5XIo,0.32,0.56,0.52,0.0,0.93,-12,0.05,94,0.65
2udGjDmpK1dH9VGyw7nrei,0.06,0.7,0.5,0.03,0.32,-13,0.03,105,0.68
6zC0mpGYwbNTpk9SKwh08f,0.65,0.57,0.21,0.13,0.13,-16,0.03,96,0.49
4czNORk5MjW5WOn98bki32,0.12,0.74,0.58,0.0,0.05,-12,0.05,109,0.78
